title,release_year,score,number_of_votes,duration,number_of_seasons,main_genre,main_production
She-Ra and the Princesses of Power,2018,7.8,14935,24,5,scifi,US
A Series of Unfortunate Events,2017,7.8,59239,47,3,action,US
Gotham,2014,7.8,226081,43,5,scifi,US
Workin' Moms,2017,7.8,14892,22,6,comedy,CA
Russian Doll,2019,7.8,88945,28,2,drama,US
Sweet Tooth,2021,7.8,49182,45,2,scifi,US
Imposters,2017,7.8,13238,43,2,drama,US
iZombie,2015,7.8,66488,42,5,scifi,US
Conversations with a Killer: The Ted Bundy Tapes,2019,7.8,27439,59,1,crime,US
Never Have I Ever,2020,7.8,45346,28,4,drama,US
My Name,2021,7.8,18446,50,1,thriller,KR
Happy Endings,2011,7.8,37778,21,3,comedy,US
Crazy Ex-Girlfriend,2015,7.8,19738,42,4,comedy,US
El Chapo,2017,7.8,17992,44,3,drama,US
NCIS,2003,7.8,141049,44,19,action,US
Jane the Virgin,2014,7.8,46286,42,5,drama,US
Undercover,2019,7.8,16773,49,3,drama,BE
DOTA: Dragon's Blood,2021,7.8,17429,26,2,scifi,US
The Innocent,2021,7.8,29019,58,1,crime,ES
The Staircase,2004,7.8,21531,49,2,crime,FR
Giri/Haji,2019,7.8,13570,58,1,thriller,GB
Angel Beats!,2010,7.7,13848,26,1,scifi,JP
Love,2016,7.7,41362,32,3,drama,US
In the Dark,2019,7.7,10927,41,4,comedy,US
Midnight Mass,2021,7.7,102321,64,1,action,US
The Vampire Diaries,2009,7.7,310776,42,8,scifi,US
Alias Grace,2017,7.7,31577,44,1,drama,CA
You,2018,7.7,225949,47,3,thriller,US
Norsemen,2016,7.7,18040,30,3,comedy,NO
Good Girls,2018,7.7,49867,42,4,comedy,US
Seven Seconds,2018,7.7,15323,62,1,crime,US
The Chestnut Man,2021,7.7,41253,55,1,crime,DK
Crashing,2016,7.7,18546,30,1,comedy,GB
Maniac,2018,7.7,74877,39,1,drama,US
New Girl,2011,7.7,216209,21,7,comedy,US
Miraculous: Tales of Ladybug & Cat Noir,2015,7.7,10102,22,4,romance,FR
Home for Christmas,2019,7.7,13670,29,2,comedy,NO
Inside Job,2021,7.6,15137,28,1,comedy,US
The Serpent,2021,7.6,41782,57,1,drama,GB
Alice in Borderland,2020,7.6,47651,47,2,action,JP
Spinning Out,2020,7.6,13692,50,1,drama,US
Messiah,2020,7.6,42018,45,1,drama,US
Teenage Bounty Hunters,2020,7.6,10821,49,1,action,US
Shadow and Bone,2021,7.6,77782,52,1,scifi,US
The Devil Next Door,2019,7.6,13084,46,1,documentary,US
My Little Pony: Friendship Is Magic,2010,7.6,20708,22,9,scifi,CA
The Magicians,2015,7.6,49557,44,5,drama,US
Bordertown,2016,7.6,10371,59,3,drama,FI
Unbreakable Kimmy Schmidt,2015,7.6,70242,30,4,comedy,US
Chicago Med,2015,7.6,24142,41,8,drama,US
The 100,2014,7.6,242221,42,7,drama,US
The Flash,2014,7.6,336888,42,8,scifi,US
Cable Girls,2017,7.6,13855,50,5,drama,ES
Criminal: UK,2019,7.6,17992,44,2,drama,GB
Devilman Crybaby,2018,7.6,18575,25,1,scifi,JP
Madam Secretary,2014,7.6,22563,43,6,war,US
Sword Art Online,2012,7.6,43727,23,4,scifi,JP
Gilmore Girls: A Year in the Life,2016,7.6,36359,92,1,comedy,US
Dead Set,2008,7.6,19684,141,1,scifi,GB
Grey's Anatomy,2005,7.6,293618,49,18,drama,US
Goosebumps,1995,7.6,13361,22,4,scifi,CA
Love 101,2020,7.5,13797,46,2,comedy,TR
Shooter,2016,7.5,35547,41,3,war,US
Reign,2013,7.5,47751,42,4,drama,US
Blue Exorcist,2011,7.5,12741,24,2,scifi,JP
Outer Banks,2020,7.5,43404,49,2,action,US
Arrow,2012,7.5,425716,42,8,action,US
Halston,2021,7.5,14040,47,1,drama,US
The Night Shift,2014,7.5,12069,42,4,drama,US
The Heirs,2013,7.5,10329,59,1,drama,KR
The Politician,2019,7.5,21887,43,2,comedy,US
Ragnarok,2020,7.5,36185,47,2,action,NO
Everything Sucks!,2018,7.5,18023,24,1,drama,US
Frequency,2016,7.5,13625,18,3,scifi,US
Dark Matter,2015,7.5,41867,43,3,scifi,CA
Night Stalker: The Hunt for a Serial Killer,2021,7.5,23939,47,1,crime,US
Dash & Lily,2020,7.5,16978,25,1,comedy,US
True Story,2021,7.5,16927,39,1,drama,US
Hollywood,2020,7.5,35067,50,1,drama,US
Designated Survivor,2016,7.5,88019,44,3,war,US
Quicksand,2019,7.5,21077,46,1,drama,SE
Feel Good,2020,7.5,10317,25,2,drama,GB
Dogs of Berlin,2018,7.5,12453,60,1,drama,DE
Evil Genius,2018,7.5,27516,48,1,crime,US
13 Reasons Why,2017,7.5,282373,58,4,drama,US
Lupin,2021,7.5,100575,46,3,crime,FR
All of Us Are Dead,2022,7.5,41393,61,1,action,KR
I Am Not Okay with This,2020,7.5,56459,21,1,comedy,US
